<CR-301><23/10/2016 17:44:09>>Initial Card Reader[1100301]Address=1: COM25 9600,N,8,1 successful.
<CR-301><23/10/2016 17:44:09>>Open comport[COM25]
<CR-301><23/10/2016 17:44:09>>Open comport[COM25 : 9600,N,8,1] successfull.
<CR-301><23/10/2016 17:44:10>>CR-301connect = True
<CR-301><23/10/2016 17:51:27>>Touch Card code = 49
<CR-301><23/10/2016 17:52:00>>Touch Card code = 23
<CR-301><23/10/2016 17:52:12>>Touch Card code = 23
<CR-301><23/10/2016 17:53:29>>Touch Card code = 23
<CR-301><23/10/2016 17:53:38>>Touch Card code = 23
<CR-301><23/10/2016 17:53:38>>Touch Card code = 23
<CR-301><23/10/2016 17:53:39>>Touch Card code = 23
<CR-301><23/10/2016 17:53:40>>Touch Card code = 23
<CR-301><23/10/2016 17:53:41>>Touch Card code = 23
<CR-301><23/10/2016 17:53:41>>Touch Card code = 23
<CR-301><23/10/2016 17:53:42>>Touch Card code = 23
<CR-301><23/10/2016 17:53:43>>Touch Card code = 23
<CR-301><23/10/2016 17:53:44>>Touch Card code = 23
<CR-301><23/10/2016 17:53:44>>Touch Card code = 23
<CR-301><23/10/2016 17:53:45>>Touch Card code = 23
<CR-301><23/10/2016 17:53:46>>Touch Card code = 23
<CR-301><23/10/2016 17:53:46>>Touch Card code = 23
<CR-301><23/10/2016 17:53:47>>Touch Card code = 23
<CR-301><23/10/2016 17:53:48>>Touch Card code = 23
<CR-301><23/10/2016 17:53:48>>Touch Card code = 23
<CR-301><23/10/2016 17:53:49>>Touch Card code = 23
<CR-301><23/10/2016 17:53:50>>Touch Card code = 23
<CR-301><23/10/2016 17:53:50>>Touch Card code = 23
<CR-301><23/10/2016 17:53:51>>Touch Card code = 23
<CR-301><23/10/2016 17:53:52>>Touch Card code = 23
<CR-301><23/10/2016 17:53:53>>Touch Card code = 23
<CR-301><23/10/2016 17:53:53>>Touch Card code = 23
<CR-301><23/10/2016 17:53:54>>Touch Card code = 23
<CR-301><23/10/2016 17:53:55>>Touch Card code = 23
<CR-301><23/10/2016 17:53:55>>Touch Card code = 23
<CR-301><23/10/2016 17:53:56>>Touch Card code = 23
<CR-301><23/10/2016 17:53:57>>Touch Card code = 23
<CR-301><23/10/2016 17:53:57>>Touch Card code = 23
<CR-301><23/10/2016 17:53:58>>Touch Card code = 23
<CR-301><23/10/2016 17:53:59>>Touch Card code = 23
<CR-301><23/10/2016 17:54:00>>Touch Card code = 23
<CR-301><23/10/2016 17:54:00>>Touch Card code = 23
<CR-301><23/10/2016 17:54:01>>Touch Card code = 23
<CR-301><23/10/2016 17:54:02>>Touch Card code = 49
<CR-301><23/10/2016 17:54:02>>Touch Card code = 2863
<CR-301><23/10/2016 17:54:03>>Touch Card code = 49
<CR-301><23/10/2016 17:54:04>>Touch Card code = 2863
<CR-301><23/10/2016 17:54:04>>Touch Card code = 49
<CR-301><23/10/2016 17:54:05>>Touch Card code = 2863
<CR-301><23/10/2016 17:54:06>>Touch Card code = 49
<CR-301><23/10/2016 17:54:07>>Touch Card code = 2863
<CR-301><23/10/2016 17:54:07>>Touch Card code = 2863
<CR-301><23/10/2016 17:54:08>>Touch Card code = 49
<CR-301><23/10/2016 17:54:09>>Touch Card code = 2863
<CR-301><23/10/2016 17:54:10>>Enter Key = F1
<CR-301><23/10/2016 17:54:11>>Enter Key = F2
<CR-301><23/10/2016 17:54:12>>Touch Card code = 49
<CR-301><23/10/2016 17:54:13>>Touch Card code = 2863
